Paper_ID,DOI,Role,Table_number,PDF_page,Table_types,Caption_excerpt,Caption_word_count,Source_status,Mean_or_std_signal,Best_second_best_signal
P001,10.1109/tac.2021.3097706,A,I,10,MAIN_COMPARISON,Comparison of mean solve times and tracking error,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,True,False
P003,10.1109/tac.2026.3653296,A,V,12,UNCLASSIFIED,"reports the minimum, maximum, mean and standard",7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,True,False
P003,10.1109/tac.2026.3653296,A,VI,12,UNCLASSIFIED,"for differentτ, λ and|Bi|. There are several interesting",8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P005,10.1109/tac.2024.3386024,A,II,7,UNCLASSIFIED,contains a result analysis of the current approach of Algo-,10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P007,10.1109/taes.2025.3569615,A,I,5,PARAMETERS; COMPLEXITY,Dynamic Model Parameters,3,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P007,10.1109/taes.2025.3569615,A,II,6,UNCLASSIFIED,"Initial Orbital Elements and Spacecraft Propulsion System Speciﬁcations for Multiple Transfer Scenarios, Including GTO (1, 2),",16,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P007,10.1109/taes.2025.3569615,A,III,6,UNCLASSIFIED,Target Orbital Elements for V arious Transfer Scenarios,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P007,10.1109/taes.2025.3569615,A,IV,9,PARAMETERS; COMPLEXITY,"State Parameters (h,e) Deﬁned for All Transfer Scenarios",8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P007,10.1109/taes.2025.3569615,A,V,11,UNCLASSIFIED,Comparative Analysis of Transfer Scenarios Outcomes Evaluating the Results of Proposed SA3-RL Approach Against Automated and Traditional,17,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P007,10.1109/taes.2025.3569615,A,VI,13,UNCLASSIFIED,Optimal λ V alues and Transfer Times for Low-Thrust Spacecraft,10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P007,10.1109/taes.2025.3569615,A,VII,14,PARAMETERS; COMPLEXITY,Initial State Parameters for GTO-1 and Its Perturbed V ariants (GTO-2 to,12,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P008,10.1109/taes.2025.3624705,A,I,11,UNCLASSIFIED,Summary of Theorem 1 Under Different Maneuver Scenarios,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P008,10.1109/taes.2025.3624705,A,II,12,PARAMETERS; COMPLEXITY,Chief Spacecraft Orbit Parameters,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P008,10.1109/taes.2025.3624705,A,III,15,MAIN_COMPARISON,Success Rate Comparison of Different Methods,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P008,10.1109/taes.2025.3624705,A,IV,15,MAIN_COMPARISON,Comparison of Terminal Convergence Errors,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P009,10.1109/taes.2024.3485601,A,I,15,PARAMETERS; COMPLEXITY,Control Parameters,2,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P009,10.1109/taes.2024.3485601,A,II,15,UNCLASSIFIED,Average CPU Time Saved at Different α,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P010,10.1109/taes.2025.3550128,A,I,7,MAIN_COMPARISON,Performance Indicators of Different Algorithms,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P011,10.1109/taes.2025.3633213,A,I,9,PARAMETERS; ENVIRONMENT_SETTINGS; COMPLEXITY,Environment Parameters,2,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P011,10.1109/taes.2025.3633213,A,II,9,PARAMETERS; COMPLEXITY,Training Parameters,2,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P011,10.1109/taes.2025.3633213,A,III,11,MAIN_COMPARISON,Algorithms’ Performance Under Scenario 1,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P011,10.1109/taes.2025.3633213,A,IV,11,MAIN_COMPARISON,Algorithms’ Performance Under Scenario 2,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P011,10.1109/taes.2025.3633213,A,V,12,MAIN_COMPARISON,Algorithms’ Performance Under Scenario 3,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P011,10.1109/taes.2025.3633213,A,VI,13,MAIN_COMPARISON,Statistical Performance of L-PSO and R-TD3 Over 2000,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P012,10.1109/tai.2023.3237665,A,I,5,PARAMETERS; BASELINE_DESCRIPTION; COMPLEXITY,MAIN HYPERPARAMETERS OF THE RGCRL AND BASELINE ALGORITHMS,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P012,10.1109/tai.2023.3237665,A,II,8,UNCLASSIFIED,EVA L U AT I O N O FDIFFERENT ROBOTIC AGENTS ON THE THREE ROBOTIC CONTROL TASKS UNDER THE MIXED ADVERSARIAL ATTACKS ON OBSERV A TIONS,26,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P013,10.1109/tai.2024.3351797,A,I,8,UNCLASSIFIED,WILCOXON RANK-SUM TEST BETWEEN STATE-OF-THE-ART,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P014,10.1109/tai.2025.3607722,A,I,11,MAIN_COMPARISON,NUMERICAL COMPARISONS WITH ALGORITHMS WORKING AT SINGLE,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P014,10.1109/tai.2025.3607722,A,II,14,PARAMETERS; ENVIRONMENT_SETTINGS,PARAMETER SETTING TO CONDUCT NUMERICAL VALIDATION,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P016,10.1109/tase.2025.3558945,A,I,4,MAIN_COMPARISON,COMPARISON OF OUR PROPOSED WORK WITH EXISTING STUDIES,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P016,10.1109/tase.2025.3558945,A,II,5,UNCLASSIFIED,SUMMARY OF KEY NOTATION,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P016,10.1109/tase.2025.3558945,A,III,11,UNCLASSIFIED,,0,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P016,10.1109/tase.2025.3558945,A,IV,13,PARAMETERS; COMPLEXITY,SUMMARY OF TRAJECTORY PATH PARAMETERS (IN KM),7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P017,10.1109/tase.2024.3432405,A,I,3,MAIN_COMPARISON,COMPARISON OF TRACKING CONTROL METHODS FOR QUADROTOR UAVs,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P017,10.1109/tase.2024.3432405,A,II,11,PARAMETERS; COMPLEXITY,PARAMETERS OF CONS DRED-SMPC,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P017,10.1109/tase.2024.3432405,A,III,14,UNCLASSIFIED,"SIMULATED TRAJECTORY TRACKING UNDER PROGRAMMATIC EXTERNAL FORCES , W HERE THE THREE EXTERNAL FORCES ARE:",15,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P017,10.1109/tase.2024.3432405,A,IV,14,UNCLASSIFIED,TECHNICAL SPECIFICATION OF HARDWARE,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P017,10.1109/tase.2024.3432405,A,V,15,UNCLASSIFIED,REAL -WORLD TRAJECTORY TRACKING UNDER VARIABLE EXTERNAL FORCES : T HE SCENARIO 1 (S HOWN IN FIG. 7) AND 3 (S HOWN IN FIG. 9) A RE,27,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P018,10.1109/tase.2025.3574280,A,I,5,UNCLASSIFIED,AN OVERVIEW OF THE PRIMARY WORKS FOR MARL A LGORITHMS,10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P018,10.1109/tase.2025.3574280,A,II,7,UNCLASSIFIED,AN OVERVIEW OF THE PRIMARY WORKS FROM 1-D AND 2-D C OOPERATION FOR MARL APPLIED IN CAV C ONTROL,19,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P018,10.1109/tase.2025.3574280,A,III,12,ENVIRONMENT_SETTINGS,AN OVERVIEW OF THE PRIMARY WORKS FROM FOUR PERSPECTIVES IN DIFFERENT SETTINGS,12,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P018,10.1109/tase.2025.3574280,A,IV,15,MAIN_COMPARISON,COMPARISONS BETWEEN SOME TYPICAL CAV C ONTROL SIMULATION PLATFORMS,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P019,10.1109/tase.2026.3653413,A,I,6,UNCLASSIFIED,THEORETICAL DOMAINS AND FUZZY SUBSETS OF INPUTS AND OUTPUTS,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P019,10.1109/tase.2026.3653413,A,II,6,UNCLASSIFIED,FUZZY RULE FOR FDWA ALGORITHM,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P019,10.1109/tase.2026.3653413,A,III,8,UNCLASSIFIED,FUZZY RULES FOR ∆KP AND ∆Kd,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P019,10.1109/tase.2026.3653413,A,IV,8,UNCLASSIFIED,FUZZY RULES FOR ∆KI,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P019,10.1109/tase.2026.3653413,A,V,8,UNCLASSIFIED,VEHICLE HARDWARE SPECIFICATIONS,3,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P019,10.1109/tase.2026.3653413,A,VI,8,PARAMETERS; COMPLEXITY,VEHICLE AND OBSTACLE PARAMETERS,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P019,10.1109/tase.2026.3653413,A,VII,9,UNCLASSIFIED,COMPARATIVE EXPERIMENTAL RESULTS OF GLOBAL PATH,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P020,10.1109/tase.2026.3689345,A,I,7,UNCLASSIFIED,FUNCTIONALITY OF EACH LLM-B ASED AGENT MODULE,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P020,10.1109/tase.2026.3689345,A,II,7,UNCLASSIFIED,EVALUATION METRICS AND FORMULAS,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P020,10.1109/tase.2026.3689345,A,III,8,UNCLASSIFIED,MAIN RESULTS ON MPE AND QUAD SWARM WITH STANDARDIZED METRICS . C OLUMN ORDER IS ALIGNED ACROSS SUITES : MPE U SES,22,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P020,10.1109/tase.2026.3689345,A,IV,8,ENVIRONMENT_SETTINGS; ABLATION,QUAD SWARM ABLATIONS UNDER MATCHED SETTINGS . SR I S REPORTED,11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P020,10.1109/tase.2026.3689345,A,V,10,UNCLASSIFIED,REAL -W ORLD RESULTS UNDER THE SIM2R EAL PIPELINE : T RAJECTORY,12,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P020,10.1109/tase.2026.3689345,A,VI,11,ENVIRONMENT_SETTINGS,BENCHMARK DEFAULT SETTINGS . N DENOTES THE,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P020,10.1109/tase.2026.3689345,A,VII,12,UNCLASSIFIED,QUAD SWARM TASKS : D ESCRIPTIONS AND PURPOSES,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P020,10.1109/tase.2026.3689345,A,VIII,12,UNCLASSIFIED,TEXTUAL PERTURBATION EXAMPLES,3,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
